week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2005-01-09,12,30,0,32,0.963,1.326,12
2005-01-16,17,30,100,32,1.277,0.504,17
2005-01-23,15,0,0,32,0.734,0.596,15
2005-01-30,9,29,0,47,1.362,0.872,9
2005-02-06,11,0,0,32,1.424,1.297,11
2005-02-13,7,39,0,41,1.046,0.787,7
2005-02-20,17,28,0,30,1.482,0.643,17
2005-02-27,12,58,100,48,1.138,1.197,12
2005-03-06,8,29,0,61,1.183,0.964,8
2005-03-13,16,52,0,85,1.386,0.787,16
2005-03-20,13,26,0,29,0.877,0.841,13
2005-03-27,11,28,96,61,0.698,1.163,11
2005-04-03,12,0,84,26,1.04,0.983,12
2005-04-10,16,0,0,41,1.157,0.722,16
2005-04-17,16,25,0,27,0.951,0.811,16
2005-04-24,13,26,0,42,0.693,0.821,13
2005-05-01,21,51,0,0,1.231,0.792,21
2005-05-08,17,67,0,29,1.333,0.559,17
2005-05-15,28,0,86,27,1.488,0.933,28
2005-05-22,22,27,0,29,0.71,1.481,22
2005-05-29,22,0,0,69,0.803,0.653,22
2005-06-05,17,0,0,28,1.142,0.856,17
2005-06-12,18,26,0,28,1.246,1.224,18
2005-06-19,12,50,0,27,1.232,0.753,12
2005-06-26,12,38,0,0,0.742,1.09,12
2005-07-03,16,0,92,29,0.813,1.232,16
2005-07-10,21,0,89,56,0.629,1.126,21
2005-07-17,14,26,0,28,0.927,0.528,14
2005-07-24,15,25,0,56,0.873,1.295,15
2005-07-31,16,26,0,28,0.839,1.245,16
2005-08-07,17,0,0,28,0.967,1.366,17
2005-08-14,14,0,0,27,0.561,0.903,14
2005-08-21,4,25,0,36,1.271,1.069,4
2005-08-28,13,0,0,31,1.31,1.302,13
2005-09-04,18,49,85,91,1.323,1.205,18
2005-09-11,15,24,0,0,0.915,1.074,15
2005-09-18,13,36,0,79,0.582,1.077,13
2005-09-25,14,100,0,0,1.062,1.243,14
2005-10-02,10,47,0,25,0.857,0.825,10
2005-10-09,22,24,0,26,1.212,0.775,22
2005-10-16,13,36,0,0,0.994,1.403,13
2005-10-23,12,23,80,25,0.649,1.292,12
2005-10-30,18,35,80,100,0.846,0.822,18
2005-11-06,22,48,0,26,0.621,1.196,22
2005-11-13,18,27,0,30,0.913,0.852,18
2005-11-20,10,35,78,25,0.693,1.042,10
2005-11-27,13,69,0,38,0.803,0.546,13
2005-12-04,16,22,74,32,1.454,0.857,16
2005-12-11,12,46,78,50,0.671,0.593,12
2005-12-18,16,34,78,49,1.022,0.603,16
2005-12-25,20,25,0,27,0.674,0.926,20
2006-01-01,15,27,0,56,0.692,1.005,15
2006-01-08,19,58,100,25,0.88,0.857,19
2006-01-15,14,100,0,28,1.472,1.044,14
2006-01-22,10,0,0,29,1.421,1.044,10
2006-01-29,7,0,0,42,0.914,1.275,7
2006-02-05,9,47,0,32,1.22,1.042,9
2006-02-12,9,35,78,29,1.467,1.101,9
2006-02-19,9,0,0,25,0.78,0.506,9
2006-02-26,15,52,86,42,1.157,0.973,15
2006-03-05,17,0,0,27,0.752,0.898,17
2006-03-12,12,0,0,27,1.15,1.413,12
2006-03-19,14,28,100,32,1.428,0.821,14
2006-03-26,15,35,0,32,0.886,1.231,15
2006-04-02,21,48,78,25,0.939,0.765,21
2006-04-09,19,0,100,85,0.984,0.658,19
2006-04-16,16,52,0,25,1.303,1.496,16
2006-04-23,17,47,0,25,1.493,0.814,17
2006-04-30,16,48,0,25,1.12,0.69,16
2006-05-07,21,26,80,27,0.866,0.96,21
2006-05-14,17,25,0,56,1.334,1.261,17
2006-05-21,17,0,100,32,1.068,1.077,17
2006-05-28,19,52,100,32,1.07,1.044,19
2006-06-04,27,46,0,56,0.511,0.688,27
2006-06-11,18,47,92,27,1.038,0.69,18
2006-06-18,12,26,89,91,0.946,0.509,12
2006-06-25,10,100,0,32,0.575,1.099,10
2006-07-02,13,30,92,61,0.879,0.512,13
2006-07-09,11,51,80,30,0.629,0.869,11
2006-07-16,11,25,80,42,0.55,0.603,11
2006-07-23,14,24,0,79,0.992,0.6,14
2006-07-30,14,35,80,61,0.853,1.38,14
2006-08-06,15,25,0,32,1.224,0.755,15
2006-08-13,17,52,100,0,0.719,0.53,17
2006-08-20,14,27,78,0,0.68,0.952,14
2006-08-27,10,25,0,32,0.523,1.131,10
2006-09-03,16,0,78,31,0.615,0.742,16
2006-09-10,13,25,0,25,0.807,0.511,13
2006-09-17,20,30,0,0,0.847,1.417,20
2006-09-24,20,50,0,29,1.101,1.435,20
2006-10-01,14,25,0,25,0.621,0.602,14
2006-10-08,14,51,86,0,0.621,1.48,14
2006-10-15,10,69,0,29,1.494,1.349,10
2006-10-22,12,47,0,79,1.035,0.598,12
2006-10-29,18,26,80,91,1.144,1.389,18
2006-11-05,16,30,0,26,1.386,0.726,16
2006-11-12,19,67,80,0,0.947,0.759,19
2006-11-19,12,0,0,36,1.417,1.054,12
2006-11-26,14,51,0,26,0.709,1.295,14
2006-12-03,8,52,74,41,1.255,1.44,8
2006-12-10,13,0,0,32,0.706,1.464,13
2006-12-17,9,0,74,27,0.828,1.101,9
2006-12-24,5,35,0,26,0.509,1.214,5
2006-12-31,14,100,0,0,0.849,1.072,14
2007-01-07,14,35,96,0,0.783,1.48,14
2007-01-14,14,100,0,25,1.309,1.242,14
2007-01-21,12,25,96,29,1.223,0.655,12
2007-01-28,5,26,0,61,1.031,0.527,5
