,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,week_date,week_count,sui1,sui2,sui3,neg,pos,pre,path
0,0.0,0.0,0.0,2005-01-09,12.0,30.0,0.0,32.0,0.963,1.3259999999999998,12.0,
1,1.0,1.0,1.0,2005-01-16,17.0,30.0,100.0,32.0,1.2770000000000001,0.504,17.0,
2,2.0,2.0,2.0,2005-01-23,15.0,0.0,0.0,32.0,0.7340000000000001,0.596,15.0,
3,3.0,3.0,3.0,2005-01-30,9.0,29.0,0.0,47.0,1.3619999999999999,0.872,9.0,
4,4.0,4.0,4.0,2005-02-06,11.0,0.0,0.0,32.0,1.4240000000000002,1.297,11.0,
5,5.0,5.0,5.0,2005-02-13,7.0,39.0,0.0,41.0,1.046,0.787,7.0,
6,6.0,6.0,6.0,2005-02-20,17.0,28.0,0.0,30.0,1.482,0.643,17.0,
7,7.0,7.0,7.0,2005-02-27,12.0,58.0,100.0,48.0,1.138,1.197,12.0,
8,8.0,8.0,8.0,2005-03-06,8.0,29.0,0.0,61.0,1.183,0.9640000000000001,8.0,
9,9.0,9.0,9.0,2005-03-13,16.0,52.0,0.0,85.0,1.386,0.787,16.0,
10,10.0,10.0,10.0,2005-03-20,13.0,26.0,0.0,29.0,0.877,0.841,13.0,
11,11.0,11.0,11.0,2005-03-27,11.0,28.0,96.0,61.0,0.698,1.163,11.0,
12,12.0,12.0,12.0,2005-04-03,12.0,0.0,84.0,26.0,1.04,0.983,12.0,
13,13.0,13.0,13.0,2005-04-10,16.0,0.0,0.0,41.0,1.157,0.722,16.0,
14,14.0,14.0,14.0,2005-04-17,16.0,25.0,0.0,27.0,0.951,0.8109999999999999,16.0,
15,15.0,15.0,15.0,2005-04-24,13.0,26.0,0.0,42.0,0.693,0.821,13.0,
16,16.0,16.0,16.0,2005-05-01,21.0,51.0,0.0,0.0,1.2309999999999999,0.792,21.0,
17,17.0,17.0,17.0,2005-05-08,17.0,67.0,0.0,29.0,1.3330000000000002,0.5589999999999999,17.0,
18,18.0,18.0,18.0,2005-05-15,28.0,0.0,86.0,27.0,1.4880000000000002,0.9329999999999999,28.0,
19,19.0,19.0,19.0,2005-05-22,22.0,27.0,0.0,29.0,0.71,1.4809999999999999,22.0,
20,20.0,20.0,20.0,2005-05-29,22.0,0.0,0.0,69.0,0.8029999999999999,0.653,22.0,
21,21.0,21.0,21.0,2005-06-05,17.0,0.0,0.0,28.0,1.1420000000000001,0.856,17.0,
22,22.0,22.0,22.0,2005-06-12,18.0,26.0,0.0,28.0,1.246,1.224,18.0,
23,23.0,23.0,23.0,2005-06-19,12.0,50.0,0.0,27.0,1.232,0.753,12.0,
24,24.0,24.0,24.0,2005-06-26,12.0,38.0,0.0,0.0,0.742,1.09,12.0,
25,25.0,25.0,25.0,2005-07-03,16.0,0.0,92.0,29.0,0.813,1.232,16.0,
26,26.0,26.0,26.0,2005-07-10,21.0,0.0,89.0,56.0,0.629,1.126,21.0,
27,27.0,27.0,27.0,2005-07-17,14.0,26.0,0.0,28.0,0.927,0.528,14.0,
28,28.0,28.0,28.0,2005-07-24,15.0,25.0,0.0,56.0,0.873,1.295,15.0,
29,29.0,29.0,29.0,2005-07-31,16.0,26.0,0.0,28.0,0.8390000000000001,1.245,16.0,
30,30.0,30.0,30.0,2005-08-07,17.0,0.0,0.0,28.0,0.9670000000000001,1.3659999999999999,17.0,
31,31.0,31.0,31.0,2005-08-14,14.0,0.0,0.0,27.0,0.561,0.903,14.0,
32,32.0,32.0,32.0,2005-08-21,4.0,25.0,0.0,36.0,1.271,1.069,4.0,
33,33.0,33.0,33.0,2005-08-28,13.0,0.0,0.0,31.0,1.31,1.3019999999999998,13.0,
