,0,1,2,3
0,11,38,0,32
1,21,37,100,32
2,14,36,0,32
3,15,54,0,47
4,13,76,0,32
5,10,73,0,41
6,19,35,0,30
7,13,100,100,48
8,13,0,0,61
9,15,66,0,85
10,18,50,0,29
11,8,36,96,61
12,22,31,84,26
13,19,96,0,41
14,20,65,0,27
15,21,33,0,42
16,22,48,0,0
17,22,34,0,29
18,29,64,86,27
19,27,67,0,29
20,27,49,0,69
21,19,33,0,28
22,18,32,0,28
23,15,54,0,27
24,13,49,0,0
25,18,69,92,29
26,23,0,89,56
27,19,44,0,28
28,16,33,0,56
29,20,98,0,28
30,19,33,0,28
31,14,32,0,27
32,8,32,0,36
33,12,37,0,31
34,19,32,85,91
35,16,30,0,0
36,18,31,0,79
37,15,42,0,0
38,8,60,0,25
39,21,30,0,26
40,19,92,0,0
41,16,30,80,25
42,19,74,80,100
43,27,30,0,26
44,17,35,0,30
45,11,58,78,25
46,18,58,0,38
47,20,47,74,32
48,15,39,78,50
49,14,39,78,49
50,25,52,0,27
51,16,44,0,56
